tijdstip;locatie;component;waarde;LKI
2015-08-11 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,70712;1
2015-08-11 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,22509;1
2015-08-11 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,84553;1
2015-08-11 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,20025;1
2015-08-11 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,48699;1
2015-08-11 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,40573;1
2015-08-11 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,38316;1
2015-08-11 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,14747;1
2015-08-11 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,2291;1
2015-08-11 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,80968;1
2015-08-11 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,52676;1
2015-08-11 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,3848;1
2015-08-11 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;1,86164;1
2015-08-12 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,58882;1
2015-08-12 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,96037;1
2015-08-12 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,5818;3
2015-08-12 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,31709;1
2015-08-12 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,6001;1
2015-08-12 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,1653;1
2015-08-12 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,0096;1
2015-08-12 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,0207;2
2015-08-12 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,7285;1
2015-08-12 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;10,5667;2
2015-08-12 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,777;2
2015-08-12 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,7224;2
2015-08-12 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,45359;1
2015-08-12 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,40045;1
2015-08-12 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,73724;1
2015-08-12 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,7649;1
2015-08-12 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,37533;1
2015-08-12 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,24493;1
2015-08-12 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,62604;1
2015-08-12 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,00469;1
