"cbs_buurtnummer","postcode","buurtnaam","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","internetsnelheid","wozwaarde","internetsnelheid_norm","wozwaarde_norm","leeftijd_tot15_norm","leeftijd_15.65_norm","leeftijd_van65_norm","allochtoon_w_norm","allochtoon_nw_norm","aanwezigheid_binnensport_norm","aanwezigheid_sportveld_norm","aanwezigheid_basisscholen_norm","aanwezigheid_middelbarescholen_norm","aanwezigheid_ov_norm","aanwezigheid_parkeergelegenheid_norm","aanwezigheid_eigenparkeerpl_norm","autochtoon_norm"
"BU05990842",3062,"Kralingen Oost","Kralingen-Crooswijk",3005,16,69,15,67,21,12,79,70,61,56,96,53,22,1.1,0.9,0.8,30,100,100,0.3,2.5,16.9,118,108,1,7,6,3,4,3,2,1,51.921442,4.5264489,50,156000,1,3,4,5,3,7,1,8,7,6,8,9,4,3,7
"BU05990843",3062,"Kralingse Bos","Kralingen-Crooswijk",3005,16,69,15,67,21,12,79,70,61,56,96,53,22,1.1,0.9,0.8,30,100,100,0.3,2.5,16.9,118,108,1,7,6,3,4,3,2,1,51.9374906,4.5225635,200,156000,4,3,4,5,3,7,1,8,7,6,8,9,4,3,7
"BU05990845",3063,"De Esch","Kralingen-Crooswijk",45,10,72,17,50,13,37,52,82,61,10,94,81,4,0.8,0.1,0.5,0,10,100,0,0.1,16.9,129,114,0,8,7,3,0,2,0,1,51.905397,4.53033,300,174000,6,4,2,6,3,3,4,5,9,6,1,9,8,0,5
"BU05990847",3063,"Struisenburg","Kralingen-Crooswijk",47,5,81,14,51,28,21,64,55,34,26,90,68,35,0.1,0.6,0.8,90,100,100,1.3,2.8,24.1,130,108,4,7,7,5,4,0,1,1,51.9187028336749,4.50739860534668,50,174000,1,4,0,8,2,10,2,6,5,2,3,8,7,5,5
"BU05991079",3071,"Kop van Zuid-Entrepot","Feijenoord",79,19,70,11,35,13,52,86,27,72,38,97,57,33,1.5,1,1.5,90,100,100,2.2,2.5,24.6,98,98,6,6,4,5,4,4,2,2,51.9077656,4.5031091,400,156000,8,3,6,6,2,3,6,9,1,8,5,10,5,4,3
"BU05991080",3075,"Vreewijk","Feijenoord",80,15,65,20,59,10,32,39,66,77,67,92,50,10,0.9,2.4,2.6,90,30,100,1.5,0.5,23.4,86,83,4,5,2,5,1,3,4,4,51.885762971,4.50602531433105,80,156000,2,3,4,4,4,2,4,4,6,8,9,9,4,1,6
"BU05991081",3073,"Bloemhof","Feijenoord",81,19,71,10,24,11,65,60,44,70,53,92,28,8,2.2,2.6,1.9,70,100,100,1.4,2.1,22.6,68,96,4,6,0,5,3,6,4,3,51.8931335,4.5017656,40,156000,1,3,6,6,1,2,8,6,4,8,7,9,1,1,1
"BU05991082",3074,"Hillesluis","Feijenoord",82,20,71,8,16,10,74,61,38,72,49,97,44,15,2.6,1.8,1.7,90,40,100,1.9,0.7,23.4,64,83,5,5,0,5,1,7,3,2,51.8941095,4.5138783,500,156000,10,3,6,6,1,2,9,6,3,8,7,10,3,2,0
"BU05991085",3072,"Katendrecht","Feijenoord",85,22,67,11,44,10,46,9,41,71,15,80,59,36,0.8,0.1,0.3,100,80,100,3.7,1.9,22.4,138,112,10,7,8,4,3,2,0,0,51.9000849,4.4797897,500,156000,10,3,7,5,2,2,6,0,3,8,2,7,5,5,4
"BU05991086",3072,"Afrikaanderwijk","Feijenoord",86,19,69,12,14,6,80,54,48,78,51,95,28,8,2.7,2.7,2,80,100,100,1.3,2.7,21,77,84,4,5,1,4,4,8,5,3,51.899868,4.5018283,500,156000,10,3,6,5,2,0,10,5,4,9,7,9,1,1,0
"BU05991087",3071,"Feijenoord","Feijenoord",87,21,67,12,17,7,76,61,41,81,44,87,45,2,1.3,0.9,1.1,90,70,100,3.2,1.1,23.9,87,89,9,5,2,5,2,4,2,2,51.9105760287813,4.50853586196899,100,156000,2,3,6,5,2,0,9,6,3,9,6,8,3,0,0
"BU05991088",3071,"Noordereiland","Feijenoord",88,12,74,15,56,15,29,20,32,67,10,87,61,12,0.9,0,0.3,100,100,100,3.6,4.8,31.6,129,104,10,7,7,6,7,3,0,0,51.9132973,4.4961069,500,156000,10,3,3,6,3,4,3,1,2,7,1,8,6,1,6
"BU05991283",3077,"Oud IJsselmonde","IJsselmonde",83,15,72,13,64,10,26,22,47,59,19,54,57,29,0.2,0,0,60,0,100,1.1,0,13,136,103,3,7,7,3,0,1,0,0,51.8994025803768,4.54314708709717,50,156000,1,3,4,6,2,2,3,2,4,6,2,2,5,4,7
"BU05991284",3076,"Lombardijen","IJsselmonde",84,18,63,19,48,10,43,71,64,71,53,94,62,18,0.7,1.1,1.6,80,0,100,1.5,0,16.5,91,98,4,6,3,3,0,2,2,2,51.8768883812822,4.52229022979736,400,156000,8,3,5,4,4,2,5,7,6,8,7,9,6,2,4
"BU05991289",3078,"Groot IJsselmonde-Noord","IJsselmonde",1009,16,57,27,59,9,32,67,63,75,51,81,57,11,0.7,1.9,0.2,70,0,100,1.1,0,17.9,79,104,3,7,2,4,0,2,3,0,51.8862876,4.5425145,0,156000,0,3,4,2,5,1,4,7,6,8,7,7,5,1,6
"BU05991290",3078,"Beverwaard","IJsselmonde",90,21,70,9,43,9,48,42,47,88,24,90,55,5,1.6,0,0,30,0,100,0.3,0,9.7,86,97,1,6,2,2,0,5,0,0,51.8913782241578,4.56799507141113,500,156000,10,3,6,6,1,1,6,4,4,10,3,8,5,0,4
"BU05991391",3195,"Pernis","Pernis",91,16,65,19,83,8,9,45,92,86,10,73,64,24,0.9,0,0,80,100,0,1.2,1,0,128,119,3,8,7,0,1,3,0,0,51.8887319,4.3890747,500,156000,10,3,4,4,4,1,1,4,10,10,1,6,6,3,9
"BU05991444",3065,"s-Gravenland","Prins Alexander",44,17,70,14,69,13,18,78,60,72,48,94,73,37,0.5,0.2,0,30,100,40,0.3,1.7,1,147,129,1,9,9,0,2,1,0,0,51.9251608738576,4.55134391784668,50,174000,1,4,5,6,2,3,2,8,6,8,6,9,7,5,7
"BU05991446",3062,"Kralingseveer","Prins Alexander",46,19,70,12,82,8,11,8,83,34,16,58,57,21,0,0,0,100,70,10,1.9,0.7,0.1,161,137,5,10,10,0,1,0,0,0,51.9106446,4.550995,200,174000,4,4,6,6,2,1,1,0,9,2,2,3,5,3,9
"BU05991448",3066,"Prinsenland","Prins Alexander",48,13,64,23,66,10,24,60,77,72,63,89,73,22,0.4,2.3,1.6,90,70,20,1.5,1.6,0.3,134,127,4,9,7,0,2,1,4,2,51.9342111533824,4.54524993896484,50,174000,1,4,3,4,5,2,3,6,8,8,9,8,7,3,7
"BU05991449",3067,"Het Lage Land","Prins Alexander",49,13,63,24,65,11,24,42,66,66,58,90,68,17,0.7,3,2.3,90,80,0,1.3,2.2,0,131,107,4,7,7,0,3,2,5,3,51.9440267905227,4.5434045791626,50,174000,1,4,3,4,5,2,3,4,6,7,8,8,7,2,7
"BU05991463",3068,"Ommoord","Prins Alexander",63,13,56,31,72,10,18,80,62,67,36,97,66,11,0.6,0.3,0.4,60,100,0,1,4,0,117,116,3,8,5,0,6,2,1,1,51.9614568185818,4.54567909240723,200,302000,4,10,3,2,6,2,2,8,6,7,5,10,6,1,8
"BU05991466",3068,"Zevenkamp","Prins Alexander",66,17,69,14,60,9,31,64,75,78,45,95,53,9,0.7,0.6,0.7,50,100,0,0.8,3.5,0,100,108,2,7,4,0,5,2,1,1,51.9658198773771,4.57134246826172,400,207000,8,6,5,5,2,1,4,6,8,9,6,9,4,1,6
"BU05991467",3067,"Oosterflank","Prins Alexander",67,15,66,20,57,11,33,80,67,70,73,97,71,16,0.9,4.8,3.9,90,100,0,1.6,3.2,0,94,97,4,6,3,0,5,3,8,6,51.9454883694731,4.56256628036499,50,207000,1,6,4,4,4,2,4,8,7,8,10,10,7,2,6
"BU05991468",3059,"Nesselande","Prins Alexander",68,30,62,8,72,8,20,80,70,81,16,93,75,33,0.5,0,0,0,100,0,0,1.3,0,128,123,0,9,7,0,2,1,0,0,51.9779548797654,4.58799362182617,500,207000,10,6,10,4,1,1,2,8,7,9,2,9,8,4,8
"BU05991571",3081,"Tarwewijk","Charlois",71,20,74,6,22,19,59,66,47,74,46,93,55,6,2.4,1.6,1.4,10,100,100,0.2,2.3,16.6,72,89,1,5,1,3,3,7,3,2,51.8930732570593,4.48482513427734,40,78000,1,0,6,6,0,6,7,7,4,8,6,9,5,1,1
"BU05991572",3083,"Carnisse","Charlois",72,17,75,9,37,23,40,69,65,65,56,98,41,2,1,4,2.2,100,100,100,2.3,1.2,9.6,88,92,6,5,2,2,2,3,7,3,51.8879921,4.479409,40,156000,1,3,5,7,1,8,5,7,6,7,8,10,3,0,3
"BU05991573",3085,"Zuidwijk","Charlois",73,17,63,20,47,10,43,76,78,74,62,95,70,15,0.6,2,1.3,60,80,100,1,0.8,5.4,91,93,3,6,3,1,1,2,3,2,51.8731260861957,4.48890209197998,50,156000,1,3,5,4,4,2,5,8,8,8,8,9,7,2,4
"BU05991574",3082,"Oud-Charlois","Charlois",74,18,71,11,40,16,45,57,58,69,57,84,37,6,1.2,4.3,1.8,80,0,100,1.6,0,9.4,84,97,4,6,2,2,0,3,7,3,51.8906894,4.4646561,300,156000,6,3,5,6,2,5,5,6,5,7,8,7,2,1,3
"BU05991575",3084,"Wielewaal","Charlois",75,14,63,23,73,9,19,38,86,49,42,68,93,42,0,4.6,1.7,60,0,100,0.8,0,5.4,116,93,2,6,5,1,0,0,8,2,51.881127209846,4.46225166320801,500,156000,10,3,4,4,5,1,2,3,9,5,6,5,10,6,8
"BU05991576",3083,"Zuidplein","Charlois",76,11,70,20,50,14,36,95,66,38,49,100,79,53,0,3,1.2,80,100,100,2.7,1.8,18.6,120,58,7,2,6,4,3,0,5,2,51.8870767,4.4900217,100,156000,2,3,2,6,4,4,4,10,6,3,7,10,8,7,5
"BU05991577",3086,"Pendrecht","Charlois",77,21,66,13,31,12,57,79,67,77,38,90,69,18,1,0.5,0.9,70,100,100,1,1,3.1,76,103,3,7,1,1,1,3,1,1,51.8736295101184,4.4694185256958,200,156000,4,3,6,4,2,3,7,8,7,8,5,8,7,2,2
"BU05991578",3084,"Zuiderpark en Zuidrand","Charlois",78,6,48,46,77,10,14,20,75,55,57,58,77,62,0.5,2.7,1,60,70,90,1.3,0.9,3.6,98,38,4,0,4,1,1,1,5,1,51.8816835264266,4.48160648345947,400,156000,8,3,0,0,10,2,1,1,8,5,8,3,8,9,8
"BU05991593",3089,"Heijplaat","Charlois",93,13,70,17,68,10,21,13,59,79,3,68,80,11,0.3,0,0,80,0,0,1,0,0,132,127,3,9,7,0,0,1,0,0,51.8911663405496,4.42236185073853,500,156000,10,3,3,6,3,2,2,1,6,9,0,5,8,1,7
