"buurtnaam","cbs_buurtnummer","wijknaam","wijknummer","leeftijd_tot15","leeftijd_15.65","leeftijd_van65","autochtoon","allochtoon_w","allochtoon_nw","aanwezigheid_binnensport","aanwezigheid_sportveld","aanwezigheid_basisscholen","aanwezigheid_middelbarescholen","aanwezigheid_ov","aanwezigheid_parkeergelegenheid","aanwezigheid_eigenparkeerpl","aantal_basisscholen","aantal_vmboschool","aantal_hav.vwoschool","norm_bushalte","norm_metrostation","norm_tramhalte","aantal_bushaltes","aantal_metrostations","aantal_tramhaltes","veiligheidsindex_sub","veiligheidsindex_ob","aantal_bushaltes_norm","veiligheidsindex_ob_norm","veiligheidsindex_sub_norm","aantal_tramhaltes_norm","aantal_metrostations_norm","aantal_basisscholen_norm","aantal_vmboschool_norm","aantal_hav.vwoschool_norm","lat","long","postcode","internetsnelheid"
"Nesselande","BU05991468","Prins Alexander",68,"30%","62%","8%","72%","8%","20%","50%","79%","90%","16%","95%","71%","41%","0,3","0","0","0%","99%","0%","0","1,2","0",135,138,0,10,7,0,2,1,0,0,51.9779548797654,4.58799362182617,3059,
"Nieuw Crooswijk","BU05990836","Kralingen-Crooswijk",36,"15%","76%","10%","46%","11%","43%","40%","83%","59%","31%","75%","83%","43%","0,8","3","1,9","100%","5%","100%","2,5","0,1","30,1",106,114,7,7,4,6,0,3,5,3,51.9399819,4.4920865,3034,
"Nieuwe Werk","BU05990118","Rotterdam Centrum",3003,"6%","83%","11%","58%","17%","25%","14%","19%","24%","16%","97%","65%","41%","0,1","0,5","1,2","1%","100%","100%","0","4,6","38,6",145,78,0,3,8,8,7,0,1,2,51.9062395,4.4736472,3016,
"Nieuwe Westen","BU05990324","Delfshaven",24,"18%","74%","9%","30%","12%","58%","43%","42%","71%","53%","97%","43%","13%","1,6","2,7","3,7","85%","98%","100%","1,7","2,4","30,4",97,108,5,7,4,6,4,7,5,6,51.916399947111,4.45049285888672,3023,
"Noordereiland","BU05991088","Feijenoord",88,"12%","74%","15%","56%","15%","29%","8%","31%","68%","8%","67%","65%","10%","0","0","0,5","100%","100%","100%","3,6","4,8","31,6",138,108,10,7,8,6,7,0,0,1,51.9132973,4.4961069,3071,
"NoordKethel","BU05990452","Overschie",3006,"23%","62%","16%","83%","7%","10%","30%","71%","67%","39%","43%","86%","46%","0,5","0","0","34%","48%","61%","0,4","0,7","5",160,121,1,8,10,1,1,2,0,0,51.9529163,4.3951036,3124,
"Ommoord","BU05991463","Prins Alexander",63,"13%","56%","31%","72%","10%","18%","53%","64%","81%","45%","97%","75%","19%","0,5","0,3","0,5","62%","100%","3%","0,9","4","0",132,129,2,9,7,0,6,2,1,1,51.9614568185818,4.54567909240723,3068,
"Oosterflank","BU05991467","Prins Alexander",67,"15%","66%","20%","57%","11%","33%","48%","62%","76%","78%","97%","69%","26%","0,9","3,9","3,9","89%","100%","0%","1,6","3,2","0",96,102,4,6,3,0,5,4,7,6,51.9454883694731,4.56256628036499,3067,
"Oud-Charlois","BU05991574","Charlois",74,"18%","71%","11%","40%","16%","45%","39%","53%","81%","66%","83%","42%","13%","1,2","3,7","1,8","81%","4%","100%","1,6","0","9,5",85,100,4,6,2,2,0,5,7,3,51.8906894,4.4646561,3082,
"Oud Crooswijk","BU05990837","Kralingen-Crooswijk",37,"18%","68%","14%","33%","10%","58%","54%","66%","74%","42%","85%","68%","9%","1,7","3,4","3,1","55%","94%","100%","0,9","1,9","34,1",79,104,2,6,2,7,3,7,6,5,51.9319573,4.494037,3034,
"Oud IJsselmonde","BU05991283","IJsselmonde",83,"15%","72%","13%","64%","10%","26%","34%","37%","56%","17%","55%","68%","32%","0,2","0","0","58%","0%","100%","1,1","0","13",115,109,3,7,5,3,0,1,0,0,51.8994025803768,4.54314708709717,3077,
"Oude Noorden","BU05990535","Noord",35,"17%","73%","10%","34%","12%","54%","38%","34%","73%","41%","96%","55%","14%","1,9","2,5","0,7","72%","41%","100%","1,8","1,2","38",73,99,5,6,1,8,2,8,4,1,51.9344152,4.481676,3036,
"Oude Westen","BU05990111","Rotterdam Centrum",11,"14%","72%","14%","29%","12%","60%","42%","40%","66%","51%","99%","48%","21%","1","2,9","6,2","43%","100%","100%","0,8","5,9","47,1",87,81,2,4,3,9,9,4,5,10,51.9183942,4.4674905,3014,
"OudMathenesse/Witte Dorp","BU05990327","Delfshaven",3004,"16%","73%","11%","35%","21%","44%","55%","60%","70%","34%","91%","66%","10%","0,4","1","0","76%","96%","100%","0,9","1","8,4",78,109,2,7,2,2,1,2,2,0,51.9166381822332,4.42113876342773,3028,
"Overschie","BU05990456","Overschie",56,"17%","67%","16%","75%","10%","15%","53%","64%","79%","14%","74%","46%","17%","0,2","0","0","74%","4%","10%","1,6","0","0,2",108,124,4,8,5,0,0,1,0,0,51.9417252031416,4.42367076873779,3043,
"Pendrecht","BU05991577","Charlois",77,"21%","66%","13%","31%","12%","57%","27%","68%","83%","42%","92%","68%","19%","0,8","0,4","0,8","71%","99%","100%","1","1","3,1",66,91,3,5,0,1,1,3,1,1,51.8736295101184,4.4694185256958,3086,
"Pernis","BU05991391","Pernis",91,"16%","65%","19%","83%","8%","9%","62%","84%","85%","4%","68%","63%","28%","0,6","0","0","82%","100%","0%","1,2","1","0",145,140,3,10,8,0,1,3,0,0,51.8887319,4.3890747,3195,
"Prinsenland","BU05991448","Prins Alexander",48,"13%","64%","23%","66%","10%","24%","66%","78%","81%","67%","89%","73%","18%","0,4","2,1","1,6","93%","69%","25%","1,5","1,6","0,3",135,129,4,9,7,0,2,2,4,3,51.9342111533824,4.54524993896484,3066,
"Provenierswijk","BU05990516","Noord",16,"12%","77%","10%","43%","14%","44%","42%","41%","68%","60%","95%","62%","15%","0,8","5,6","5,3","17%","100%","100%","0,2","4,2","45",96,101,1,6,3,9,6,3,10,9,51.9269222,4.4696749,3033,
"Rijnpoort","BU05991703","Hoek van Holland",3001,"14%","62%","25%","86%","8%","5%","58%","87%","92%","6%","77%","70%","15%","0,5","0","0","85%","91%","0%","2","0,9","0",144,136,6,9,8,0,1,2,0,0,51.9638604,4.1668152,3151,
"Rozenburg","BU05992704","Rozenburg",4,"16%","64%","20%","81%","10%","9%","67%","79%","82%","44%","79%","61%","23%","0,4","0,5","0,6","66%","0%","0%","0,9","0","0",131,137,2,10,7,0,0,2,1,1,51.904422,4.2471328,3181,
"Rubroek","BU05990814","Kralingen-Crooswijk",14,"13%","72%","15%","47%","12%","41%","54%","44%","69%","50%","91%","65%","19%","1,2","2,3","2,7","59%","100%","100%","1,3","4,3","42,5",96,99,4,6,3,8,6,5,4,4,51.9268133,4.4899558,3031,
"s-Gravenland","BU05991444","Prins Alexander",44,"17%","70%","14%","69%","13%","18%","43%","56%","77%","59%","92%","72%","36%","0,7","0,2","0","30%","99%","36%","0,3","1,7","1",145,130,1,9,8,0,2,3,0,0,51.9251608738576,4.55134391784668,3065,
"Schiebroek","BU05990660","Hillegersberg-Schiebroek",60,"20%","62%","18%","63%","10%","27%","77%","84%","86%","77%","97%","72%","17%","0,9","2,3","1,1","75%","87%","100%","1,5","1,4","14,7",107,113,4,7,5,3,2,4,4,2,51.9592486,4.4705335,3053,
"Schiemond","BU05990329","Delfshaven",29,"19%","69%","12%","34%","11%","56%","40%","68%","75%","40%","80%","78%","41%","0,6","2,1","1,1","0%","100%","100%","0","1,8","22,6",107,116,0,7,5,5,3,3,4,2,51.9015739419502,4.45770263671875,3024,
"Schieveen","BU05990454","Overschie",3006,"23%","62%","16%","83%","7%","10%","30%","71%","67%","39%","43%","86%","46%","0,5","0","0","34%","48%","61%","0,4","0,7","5",160,121,1,8,10,1,1,2,0,0,51.9651323932704,4.41736221313476,3046,
"Spangen","BU05990323","Delfshaven",23,"21%","72%","7%","17%","10%","73%","56%","56%","82%","48%","94%","67%","15%","1,8","1,3","0,1","85%","100%","100%","1,2","1,8","16,7",81,106,3,6,2,3,3,8,2,0,51.9169822974003,4.43654537200928,3027,
"Stadsdriehoek","BU05990110","Rotterdam Centrum",10,"8%","81%","11%","56%","20%","24%","39%","14%","47%","28%","98%","71%","48%","0,3","0,4","1,2","76%","100%","100%","1,4","5,9","46,9",120,74,4,3,6,9,9,1,1,2,51.9189675257111,4.48834419250488,3011,
"Strand en duin","BU05991701","Hoek van Holland",1,"20%","65%","15%","90%","7%","3%","42%","85%","66%","9%","80%","81%","51%","0","0","0","52%","55%","0%","0,8","0,6","0",147,126,2,8,9,0,1,0,0,0,51.9867646,4.1185129,3151,
"Struisenburg","BU05990847","Kralingen-Crooswijk",47,"5%","81%","14%","51%","28%","21%","43%","52%","47%","39%","93%","66%","39%","0,1","0,7","1,5","89%","100%","100%","1,3","2,8","24,2",142,126,4,8,8,5,4,0,1,2,51.9187028336749,4.50739860534668,3063,
"Tarwewijk","BU05991571","Charlois",71,"20%","74%","6%","22%","19%","59%","43%","45%","79%","45%","91%","55%","9%","1,5","1,4","1,3","12%","100%","100%","0,2","2,3","16,6",72,95,1,5,1,3,3,7,2,2,51.8930732570593,4.48482513427734,3081,
"Terbregge","BU05990664","Hillegersberg-Schiebroek",64,"23%","68%","9%","74%","11%","15%","22%","74%","80%","34%","53%","81%","35%","0,3","0","0","37%","19%","99%","0,5","0,2","4,9",143,139,1,10,8,1,0,1,0,0,51.9512482463102,4.52173233032227,3056,
"Tussendijken","BU05990322","Delfshaven",22,"18%","71%","12%","21%","13%","67%","45%","44%","74%","40%","97%","38%","9%","2,2","1,5","0,3","6%","100%","100%","0,1","2,5","23,7",62,90,0,5,0,5,4,10,3,0,51.9127262,4.4422433,3026,
"Vreewijk","BU05991080","Feijenoord",80,"15%","65%","20%","59%","10%","32%","49%","63%","85%","77%","93%","59%","12%","0,8","1,2","1,6","89%","35%","100%","1,6","0,6","23,3",78,83,4,4,2,5,1,3,2,3,51.885762971,4.50602531433105,3075,
"Wielewaal","BU05991575","Charlois",75,"14%","63%","23%","73%","9%","19%","67%","46%","38%","28%","72%","91%","43%","0,2","3,8","1,6","62%","4%","100%","0,8","0","5,4",103,119,2,8,4,1,0,1,7,3,51.881127209846,4.46225166320801,3084,
"Zestienhoven","BU05990455","Overschie",3006,"23%","62%","16%","83%","7%","10%","30%","71%","67%","39%","43%","86%","46%","0,5","0","0","34%","48%","61%","0,4","0,7","5",160,121,1,8,10,1,1,2,0,0,51.9466986001592,4.4465446472168,3045,
"Zevenkamp","BU05991466","Prins Alexander",66,"17%","69%","14%","60%","9%","31%","88%","82%","85%","45%","95%","63%","10%","0,7","0,4","0,6","44%","100%","0%","0,7","3,5","0",106,108,2,7,4,0,5,3,1,1,51.9658198773771,4.57134246826172,3068,
"Zuiderpark en Zuidrand","BU05991578","Charlois",78,"6%","48%","46%","77%","10%","14%","28%","79%","57%","50%","59%","89%","62%","0,6","3,6","1,5","54%","87%","92%","1","1,1","5,1",91,45,3,0,3,1,2,3,6,2,51.8816835264266,4.48160648345947,3084,
"Zuidplein","BU05991576","Charlois",76,"11%","70%","20%","50%","14%","36%","82%","75%","49%","59%","100%","72%","44%","0","2","1","84%","100%","100%","2,7","1,8","18,6",96,57,8,1,3,4,3,0,4,2,51.8870767,4.4900217,3083,
"Zuidwijk","BU05991573","Charlois",73,"17%","63%","20%","47%","10%","43%","28%","85%","79%","66%","96%","67%","16%","0,6","1","1,3","59%","76%","100%","1","0,8","5,4",91,97,3,5,3,1,1,3,2,2,51.8731260861957,4.48890209197998,3085,
