wijknaam;wijknummer;buurtnaam;cbs_buurtnummer;leeftijd_tot15;leeftijd_15-65;leeftijd_van65;autochtoon;allochtoon_w;allochtoon_nw;aanwezigheid_binnensport;aanwezigheid_sportveld;aanwezigheid_basisscholen;aanwezigheid_middelbarescholen;aanwezigheid_ov;aanwezigheid_parkeergelegenheid;aanwezigheid_eigenparkeerpl;aantal_basisscholen;aantal_vmboschool;aantal_hav/vwoschool;norm_bushalte;norm_metrostation;norm_tramhalte;aantal_bushaltes;aantal_metrostations;aantal_tramhaltes;veiligheidsindex_sub;veiligheidsindex_ob
Feijenoord;86;Afrikaanderwijk;BU05991086;19%;69%;12%;14%;6%;80%;57%;49%;80%;46%;94%;32%;4%;1.8;1.9;1;84%;100%;100%;1.4;2.7;21;66;90
Feijenoord;87;Feijenoord;BU05991087;21%;67%;12%;17%;7%;76%;40%;38%;85%;40%;83%;49%;3%;1;0;0.2;91%;71%;100%;3.1;1.1;23.9;76;97
Feijenoord;88;Noordereiland;BU05991088;12%;74%;15%;56%;15%;29%;8%;31%;68%;8%;67%;65%;10%;0;0;0.5;100%;100%;100%;3.6;4.8;31.6;138;108
IJsselmonde;90;Beverwaard;BU05991290;21%;70%;9%;43%;9%;48%;24%;48%;86%;19%;91%;57%;7%;1;0;0;33%;0%;100%;0.3;0;9.7;86;110
Pernis;91;Pernis;BU05991391;16%;65%;19%;83%;8%;9%;62%;84%;85%;4%;68%;63%;28%;0.6;0;0;82%;100%;0%;1.2;1;0;145;140
Hoogvliet;92;Hoogvliet-noord;BU05991692;18%;69%;14%;54%;10%;37%;55%;52%;86%;61%;91%;65%;17%;0.7;0.5;0;81%;39%;0%;1.1;0.7;0;119;130
Charlois;93;Heijplaat;BU05991593;13%;70%;17%;68%;10%;21%;24%;60%;68%;6%;73%;64%;10%;0.4;0;0;77%;0%;0%;1;0;0;143;131
Hoogvliet;99;Hoogvliet-zuid;BU05991699;14%;63%;23%;71%;9%;20%;56%;66%;86%;75%;87%;66%;23%;0.7;1.3;0.9;84%;98%;0%;1.3;2;0;123;127
IJsselmonde;1009;Groot IJsselmonde-Noord;BU05991289;16%;57%;27%;59%;9%;32%;72%;57%;70%;47%;90%;58%;16%;0.5;1.9;0.1;74%;0%;100%;1.1;0;17.7;87;116
Hoek van Holland;3001;Dorp;BU05991702;14%;62%;25%;86%;8%;5%;58%;87%;92%;6%;77%;70%;15%;0.5;0;0;85%;91%;0%;2;0.9;0;144;136
Hoek van Holland;3001;Rijnpoort;BU05991703;14%;62%;25%;86%;8%;5%;58%;87%;92%;6%;77%;70%;15%;0.5;0;0;85%;91%;0%;2;0.9;0;144;136
Rotterdam Centrum;3003;Nieuwe Werk;BU05990118;6%;83%;11%;58%;17%;25%;14%;19%;24%;16%;97%;65%;41%;0.1;0.5;1.2;1%;100%;100%;0;4.6;38.6;145;78
Rotterdam Centrum;3003;Dijkzigt;BU05990119;6%;83%;11%;58%;17%;25%;14%;19%;24%;16%;97%;65%;41%;0.1;0.5;1.2;1%;100%;100%;0;4.6;38.6;145;78
Delfshaven;3004;OudMathenesse/Witte Dorp;BU05990327;16%;73%;11%;35%;21%;44%;55%;60%;70%;34%;91%;66%;10%;0.4;1;0;76%;96%;100%;0.9;1;8.4;78;109
Kralingen-Crooswijk;3005;Kralingen Oost;BU05990842;16%;69%;15%;67%;21%;12%;55%;70%;64%;56%;97%;62%;27%;0.8;1.7;1.7;26%;99%;99%;0.3;2.5;16.9;138;110
Kralingen-Crooswijk;3005;Kralingse Bos;BU05990843;16%;69%;15%;67%;21%;12%;55%;70%;64%;56%;97%;62%;27%;0.8;1.7;1.7;26%;99%;99%;0.3;2.5;16.9;138;110
Overschie;3006;NoordKethel;BU05990452;23%;62%;16%;83%;7%;10%;30%;71%;67%;39%;43%;86%;46%;0.5;0;0;34%;48%;61%;0.4;0.7;5;160;121
Overschie;3006;Schieveen;BU05990454;23%;62%;16%;83%;7%;10%;30%;71%;67%;39%;43%;86%;46%;0.5;0;0;34%;48%;61%;0.4;0.7;5;160;121
Overschie;3006;Zestienhoven;BU05990455;23%;62%;16%;83%;7%;10%;30%;71%;67%;39%;43%;86%;46%;0.5;0;0;34%;48%;61%;0.4;0.7;5;160;121
Noord;3011;Blijdorp;BU05990532;13%;75%;13%;72%;15%;14%;69%;66%;78%;70%;90%;48%;12%;1;3.9;5.5;73%;100%;100%;1.6;2.8;30.5;137;113
Noord;3011;Blijdorpsepolder;BU05990558;13%;75%;13%;72%;15%;14%;69%;66%;78%;70%;90%;48%;12%;1;3.9;5.5;73%;100%;100%;1.6;2.8;30.5;137;113
